Date,Open,High,Low,Close,Volume
15-Oct-15,200.08,202.36,199.64,202.35,134142195
14-Oct-15,200.18,200.87,198.94,199.29,99106161
13-Oct-15,200.65,202.16,200.05,200.25,88038718
12-Oct-15,201.42,201.76,200.91,201.52,56395585
9-Oct-15,201.38,201.90,200.58,201.33,107069240
8-Oct-15,198.95,201.55,198.59,201.21,153055231
7-Oct-15,198.90,199.82,197.48,199.41,124307295
6-Oct-15,198.31,198.98,197.00,197.79,110274530
5-Oct-15,196.46,198.74,196.33,198.47,126320842
2-Oct-15,189.77,195.03,189.12,195.00,211003342
1-Oct-15,192.08,192.49,189.82,192.13,131078964
30-Sep-15,190.37,191.82,189.44,191.63,163452044
29-Sep-15,188.27,189.74,186.93,188.12,159045572
28-Sep-15,191.78,191.91,187.64,188.01,178515871
25-Sep-15,194.64,195.00,191.81,192.85,155054777
24-Sep-15,192.15,193.45,190.56,192.90,159378840
23-Sep-15,194.11,194.67,192.91,193.60,92790620
22-Sep-15,193.88,194.46,192.56,193.91,153890876
21-Sep-15,196.44,197.68,195.21,196.46,105726209
18-Sep-15,195.71,198.68,194.96,195.45,223657456
17-Sep-15,200.02,202.89,199.28,199.73,276046618
16-Sep-15,198.82,200.41,198.41,200.18,99581557
15-Sep-15,196.61,198.99,195.96,198.46,113806176
14-Sep-15,196.95,197.01,195.43,196.01,79451983
11-Sep-15,195.38,196.82,194.53,196.74,119691212
10-Sep-15,194.56,197.22,194.25,195.85,151047666
9-Sep-15,199.32,199.47,194.35,194.79,149347735
8-Sep-15,195.94,197.61,195.17,197.43,116025739
4-Sep-15,192.85,193.86,191.61,192.59,207080961
3-Sep-15,196.26,198.05,194.96,195.55,152087836
2-Sep-15,194.62,195.46,192.42,195.41,160269331
1-Sep-15,193.12,194.77,190.73,191.77,256000392
31-Aug-15,198.11,199.12,197.01,197.67,163298816
28-Aug-15,198.50,199.84,197.92,199.28,160414352
27-Aug-15,197.02,199.42,195.21,199.27,274143906
26-Aug-15,192.08,194.79,188.37,194.46,339256986
25-Aug-15,195.43,195.45,186.92,187.27,369833071
24-Aug-15,187.49,197.48,182.40,189.55,507244333
21-Aug-15,201.73,203.94,197.52,197.63,346588469
20-Aug-15,206.51,208.29,203.90,203.97,194327884
19-Aug-15,209.09,210.01,207.35,208.32,172945975
18-Aug-15,210.26,210.68,209.70,209.98,71692678
17-Aug-15,208.71,210.59,208.16,210.59,79072643
14-Aug-15,208.43,209.51,208.26,209.42,72786528
13-Aug-15,208.73,209.55,208.01,208.66,89383253
12-Aug-15,207.11,209.14,205.36,208.92,172123672
11-Aug-15,208.97,209.47,207.76,208.67,126081377
10-Aug-15,209.28,210.67,209.28,210.57,80270676
7-Aug-15,208.16,208.34,206.87,207.95,117857956
6-Aug-15,210.29,210.42,207.65,208.35,116030803
5-Aug-15,210.45,211.31,209.73,210.07,85786817
4-Aug-15,209.70,210.25,208.80,209.38,81820823
3-Aug-15,210.46,210.53,208.65,209.79,113965728
31-Jul-15,211.42,211.45,210.16,210.50,103266857
30-Jul-15,210.16,211.02,209.42,210.82,91304374
29-Jul-15,209.48,211.04,209.31,210.77,105791255
28-Jul-15,207.79,209.50,206.80,209.33,123544845
27-Jul-15,206.94,207.55,206.26,206.79,132361082
24-Jul-15,210.30,210.37,207.60,208.00,117754979
23-Jul-15,211.53,211.65,209.75,210.18,90509128
22-Jul-15,210.93,211.77,210.89,211.37,88667920
21-Jul-15,212.43,212.74,211.39,211.75,77965048
20-Jul-15,212.75,213.18,212.21,212.59,70446821
17-Jul-15,212.29,212.55,211.80,212.48,89029973
16-Jul-15,211.87,212.30,211.58,212.30,106683266
15-Jul-15,210.73,211.28,210.04,210.61,97914141
14-Jul-15,209.72,211.05,209.65,210.68,81709575
13-Jul-15,208.99,209.90,208.94,209.77,106069400
10-Jul-15,207.29,207.98,204.95,207.48,129456890
9-Jul-15,207.04,207.35,204.77,204.90,144113107
8-Jul-15,208.02,206.76,204.25,204.53,164020059
7-Jul-15,206.96,208.17,204.11,208.02,173820249
6-Jul-15,205.77,207.65,205.53,206.72,117975369
2-Jul-15,208.07,208.27,206.81,207.31,104373652
1-Jul-15,207.73,208.03,206.56,207.50,135979873
30-Jun-15,207.26,207.32,205.28,205.85,182925106
29-Jun-15,208.04,209.83,205.33,205.42,202621332
26-Jun-15,210.29,210.58,209.16,209.82,104174840
25-Jun-15,211.10,211.25,209.77,209.86,97107361
24-Jun-15,211.72,212.17,210.47,210.50,92307318
23-Jun-15,212.14,212.44,211.57,212.04,68476797
22-Jun-15,211.90,212.59,211.64,211.89,70696027
19-Jun-15,211.46,211.55,210.36,210.81,130478689
18-Jun-15,211.31,213.34,210.63,212.78,165867949
17-Jun-15,210.59,211.32,209.36,210.59,126708635
16-Jun-15,208.93,210.35,208.72,210.25,85308227
15-Jun-15,208.64,209.45,207.79,209.11,124384184
12-Jun-15,210.64,211.48,209.68,210.01,135382369
11-Jun-15,211.48,212.09,211.20,211.63,73876447
10-Jun-15,209.37,211.41,209.30,210.95,134551285
9-Jun-15,208.45,209.10,207.69,208.45,105034690
8-Jun-15,209.64,209.82,208.39,208.48,89063330
5-Jun-15,209.95,210.58,208.98,209.77,121704676
4-Jun-15,211.07,211.86,209.75,210.13,151882820
3-Jun-15,212.00,212.67,211.33,211.92,87820909
2-Jun-15,211.02,212.19,210.27,211.36,91531012
1-Jun-15,211.94,212.34,210.62,211.57,93338750
29-May-15,212.38,212.43,210.82,211.14,124919611
28-May-15,212.33,212.59,211.63,212.46,74974560
27-May-15,211.25,212.98,210.76,212.70,93213981
26-May-15,212.40,212.91,210.20,210.70,124308584
22-May-15,213.04,213.54,212.91,212.99,57433495
21-May-15,212.71,213.75,212.51,213.50,64764585
20-May-15,213.15,213.78,212.50,212.88,76857530
19-May-15,213.24,213.57,212.69,213.03,72114610
18-May-15,212.24,213.40,212.16,213.10,74549685
15-May-15,212.44,212.61,211.86,212.44,76510099
14-May-15,211.24,212.32,210.91,212.21,95934006
13-May-15,210.47,211.22,209.74,210.02,94667943
12-May-15,209.61,210.63,208.62,209.98,119727592
11-May-15,211.57,211.89,210.52,210.60,75708065
8-May-15,210.88,211.86,210.78,211.62,155877260
7-May-15,207.92,209.38,207.52,208.87,88244940
6-May-15,209.56,209.93,206.76,208.04,135060151
5-May-15,211.03,211.46,208.73,208.90,113326156
4-May-15,211.23,212.02,211.10,211.32,70927235
1-May-15,209.40,210.77,209.28,210.72,103399711
30-Apr-15,209.88,210.35,207.62,208.46,161304890
29-Apr-15,210.37,211.29,209.60,210.57,125684903
28-Apr-15,210.74,211.50,209.33,211.44,86863531
27-Apr-15,212.33,212.48,210.54,210.77,79358126
24-Apr-15,211.66,211.97,211.11,211.65,61327387
23-Apr-15,210.15,211.94,210.01,211.16,102585942
22-Apr-15,210.01,210.85,208.90,210.63,78264616
21-Apr-15,210.67,210.86,209.24,209.60,72559831
20-Apr-15,209.06,210.25,208.96,209.85,92189481
17-Apr-15,208.94,209.23,207.01,207.95,191113230
16-Apr-15,210.03,210.98,209.79,210.37,68934864
15-Apr-15,210.05,211.04,209.95,210.43,99529320
14-Apr-15,208.85,209.71,208.10,209.49,75099866
13-Apr-15,209.87,210.63,209.03,209.09,74436594
